"UID","CB","CF","CH","FB","SI","SL"
5854,0.202846199274063,0.000709246378391981,0.356761246919632,0.378937423229218,0.00418412499129772,0.0565617904067039
5790,0.274924248456955,0.00188342714682221,0.44108447432518,0.229275837540627,0.00314407399855554,0.049687884747982
1407,0.978637635707855,0.000649637950118631,0.000730183266568929,0.00079743005335331,0.000182650561328046,0.0190024245530367
1129,0.896783769130707,0.00352526782080531,0.0130611239001155,0.00757094426080585,0.000913245836272836,0.0781455934047699
1980,0.978564739227295,0.000123350517242216,0.000529329758137465,0.0100841708481312,8.80152656463906e-05,0.010610387660563
2129,0.957849442958832,0.0015133930137381,0.00426040217280388,0.0033902358263731,0.000314672914100811,0.0326717980206013
6639,0.993780195713043,0.00012240897922311,0.000469991326099262,0.000696671660989523,5.13589111506008e-05,0.00487936893478036
1927,0.982702136039734,0.000556435028556734,0.000625424610916525,0.00100739917252213,0.00015644593804609,0.0149521781131625
1268,0.988203465938568,0.000347826338838786,0.000268472213065252,0.000612887903116643,9.88386163953692e-05,0.0104685109108686
574,0.96174818277359,0.00134772143792361,0.00185039220377803,0.000900750164873898,0.000235274084843695,0.0339177139103413
6893,0.862577736377716,0.00697161071002483,0.0223633348941803,0.0138699924573302,0.00107710342854261,0.093140222132206
5176,0.963314473628998,0.00142696301918477,0.00148673169314861,0.000925433763768524,0.000237930144066922,0.0326085016131401
7283,0.823506593704224,0.00500636268407106,0.0188962537795305,0.0219287201762199,0.00118955259677023,0.129472479224205
2922,0.324347794055939,0.00156721973326057,0.443568170070648,0.188098177313805,0.00371156586334109,0.038707010447979
8199,0.986019730567932,0.000508523778989911,0.000394238624721766,0.00103108934126794,0.000144502671901137,0.0119018936529756
7668,0.225048914551735,0.00398586643859744,0.197210609912872,0.518492877483368,0.00278398720547557,0.0524776987731457
3997,0.994629323482513,0.00022469530813396,0.000102124438853934,0.000401640485506505,6.25871762167662e-05,0.00457968143746257
8158,0.932348787784576,0.00256300554610789,0.00219036778435111,0.00320844748057425,0.000564767280593514,0.0591246001422405
502,0.988552093505859,0.000242391542997211,0.000240990848396905,0.000909891561605036,0.000127831779536791,0.00992674846202135
8027,0.994021832942963,0.000130220330902375,0.000347296590916812,0.000581210886593908,4.95038038934581e-05,0.00486997282132506
7214,0.985655426979065,0.000281265733065084,0.000344731990480796,0.000677794159855694,0.000162801356054842,0.0128779970109463
7300,0.377120494842529,0.00463711237534881,0.0130448462441564,0.00355455325916409,0.000816747662611306,0.600826263427734
3841,0.834608733654022,0.0150820845738053,0.0242094434797764,0.0146892676129937,0.00119868514593691,0.110211752355099
7012,0.608351051807404,0.00458853086456656,0.0691214203834534,0.189430356025696,0.000952067202888429,0.127556577324867
3684,0.957248210906982,0.00151244306471199,0.00456669460982084,0.00370688899420202,0.000314475386403501,0.0326512865722179
2699,0.99044144153595,0.000348614063113928,0.000288606330286711,0.000663093815091997,9.90624612313695e-05,0.00815923511981964
489,0.993625998497009,0.000221866008359939,0.000128583764308132,0.000658863224089146,6.8206230935175e-05,0.00529654184356332
344,0.57763260602951,0.00274731032550335,0.315063118934631,0.0227751992642879,0.00595037778839469,0.0758313313126564
4241,0.950607240200043,0.0017651243833825,0.00447971280664206,0.00451949564740062,0.000309233728330582,0.0383192002773285
5766,0.976509153842926,0.000474725995445624,0.00181310146581382,0.00175148900598288,8.31264842418022e-05,0.0193684138357639
5020,0.344742864370346,0.00427178246900439,0.0785160660743713,0.0197098236531019,0.00177873845677823,0.550980746746063
6438,0.963050067424774,0.00153022480662912,0.00172552431467921,0.000856738595757633,0.000237864835071377,0.0325995534658432
855,0.18553951382637,0.00138465210329741,0.188552141189575,0.470116794109344,0.00170285871718079,0.152704074978828
7559,0.835283279418945,0.00435855006799102,0.0177192948758602,0.0369903072714806,0.00103562709409744,0.104612968862057
6348,0.354177266359329,0.00855087209492922,0.106200486421585,0.0253580715507269,0.00173910229932517,0.503974199295044
4186,0.818931102752686,0.00670813536271453,0.0328672043979168,0.0133984470739961,0.00141791929490864,0.126677140593529
2202,0.849829435348511,0.0127279320731759,0.023805370554328,0.0113809630274773,0.00101158360484987,0.101244702935219
8636,0.953735888004303,0.00140556483529508,0.00122888654004782,0.00269116694107652,0.000219791327253915,0.0407186895608902
7960,0.511904120445251,0.00191253575030714,0.0585128143429756,0.299727857112885,0.00256003555841744,0.125382587313652
4950,0.937591552734375,0.0018922392046079,0.00177990202791989,0.00362297869287431,0.000295893667498603,0.0548174604773521
7493,0.457537204027176,0.00378101971000433,0.0023547955788672,0.00318724475800991,0.000635285687167197,0.532504439353943
4057,0.876556575298309,0.00426965719088912,0.020685063675046,0.0121900225058198,0.000907165929675102,0.0853914842009544
9052,0.662607610225677,0.00157426169607788,0.0513344220817089,0.157955586910248,0.00167897948995233,0.124849103391171
6801,0.859322488307953,0.0155286835506558,0.0214544273912907,0.0133062796667218,0.0010333270765841,0.0893547832965851
7235,0.842722296714783,0.00684360414743423,0.0362763814628124,0.0115621536970139,0.00122361292596906,0.101371929049492
6602,0.974051415920258,0.000448139238869771,0.00205494347028434,0.00487415073439479,0.000108280728454702,0.0184630211442709
1428,0.972443044185638,0.000928467896301299,0.00343997706659138,0.00241376576013863,0.000193052110262215,0.0205816179513931
3134,0.990317344665527,0.000348570378264412,0.000269046518951654,0.000807765929494053,9.90500484476797e-05,0.00815821345895529
2487,0.375368654727936,0.00265072751790285,0.519979596138,0.024072702974081,0.00476284418255091,0.0731654837727547
1651,0.967918157577515,0.00133777933660895,0.0011962199350819,0.00124104355927557,0.000223059672862291,0.0280837398022413
2143,0.938735842704773,0.00124448165297508,0.00256779044866562,0.00694983545690775,0.000305371941067278,0.050196748226881
2148,0.829720675945282,0.00541167566552758,0.0205065049231052,0.022094190120697,0.00119852891657501,0.121068373322487
7094,0.367163836956024,0.00123916345182806,0.00129898020531982,0.00236724363639951,0.000414530164562166,0.627516269683838
7418,0.856889247894287,0.00398990325629711,0.00726766511797905,0.035755705088377,0.000610737886745483,0.0954867079854012
5171,0.800682544708252,0.00336106540635228,0.00612653559073806,0.00358084635809064,0.00112804269883782,0.185120925307274
5046,0.310675770044327,0.00447384314611554,0.587088584899902,0.0233750846236944,0.00334155210293829,0.0710451677441597
2819,0.978523373603821,0.000303259759675711,0.000380002398742363,0.00256783701479435,0.000208945813938044,0.0180165730416775
1366,0.957953155040741,0.00151355692651123,0.00457005808129907,0.00297322613187134,0.000314706994686276,0.0326753333210945
5704,0.88092976808548,0.00727070355787873,0.00355795421637595,0.0457058474421501,0.000395660696085542,0.0621400475502014
2971,0.896593034267426,0.00231145950965583,0.00309968343935907,0.0379112511873245,0.000402695703087375,0.0596818178892136
8237,0.885252475738525,0.0023994161747396,0.00357541278935969,0.0459301248192787,0.000397602183511481,0.0624449662864208
6641,0.875084042549133,0.00323965330608189,0.00498376088216901,0.0446681454777718,0.000452735257567838,0.0715716481208801
8210,0.864869654178619,0.00524122640490532,0.00328240264207125,0.0441467612981796,0.000446781690698117,0.0820131823420525
1649,0.991696059703827,0.000336548691848293,0.000302676256978884,0.000316090416163206,9.12617761059664e-05,0.00725742662325501
208,0.857986688613892,0.0155045446008444,0.0229755230247974,0.0132855959236622,0.00103172077797353,0.0892158821225166
1252,0.989889323711395,0.000348419707734138,0.000268930220045149,0.00123969255946577,9.90072367130779e-05,0.00815468654036522
4033,0.967594623565674,0.00143450172618032,0.00148901005741209,0.00118456827476621,0.000222985123400576,0.0280743520706892
1600,0.992632567882538,0.000210073165362701,0.000511478516273201,0.00113953195977956,6.08285808993969e-05,0.00544549897313118
5337,0.994494736194611,0.000122497003758326,0.000361687532858923,0.000697172596119344,5.13958402734715e-05,0.00427253916859627
1841,0.795269966125488,0.00782473105937243,0.089758574962616,0.0302077494561672,0.00380317470990121,0.0731358304619789
4586,0.549578547477722,0.00346038956195116,0.285546541213989,0.0212089214473963,0.00814237724989653,0.132063254714012
5490,0.978572130203247,0.000178190210135654,0.00697666546329856,0.000944382627494633,0.000189244165085256,0.0131393689662218
6681,0.497219085693359,0.00175822200253606,0.00144533219281584,0.00226472527720034,0.000458190508652478,0.496854454278946
3810,0.860571920871735,0.00432158121839166,0.0186562612652779,0.00885639805346727,0.00099438545294106,0.106599420309067
2833,0.977046310901642,0.000286154507193714,0.000312852527713403,0.00317873666062951,0.000177058449480683,0.0189988389611244
6672,0.651994585990906,0.00230267108418047,0.0515770874917507,0.0158193819224834,0.00165479606948793,0.276651501655579
2462,0.982223272323608,0.000329664850141853,0.000449210812803358,0.00112482940312475,0.000223094510147348,0.0156499575823545
7056,0.981847107410431,0.0010745752369985,0.00097113533411175,0.00101174798328429,0.000156309819431044,0.0149391675367951
3401,0.320640414953232,0.00562214525416493,0.108418598771095,0.0269933491945267,0.00185125262942165,0.536474227905273
3613,0.954954087734222,0.00131986138876528,0.00151087320409715,0.00122442131396383,0.000220072062802501,0.040770698338747
6713,0.363922238349915,0.00178179750218987,0.00125938805285841,0.00229509244672954,0.000542714493349195,0.63019871711731
5397,0.884461522102356,0.00238342373631895,0.00447954423725605,0.0458890870213509,0.000397246942156926,0.0623891726136208
3723,0.551188707351685,0.00303941895253956,0.0499529242515564,0.300266474485397,0.000747045502066612,0.0948054417967796
7696,0.255429357290268,0.00480171153321862,0.384669572114944,0.30588287115097,0.002869863063097,0.0463466495275497
5508,0.981412887573242,0.00027758302167058,0.00671113142743707,0.00100626319181174,0.000187849102076143,0.010404272004962
